"","Timestamp","Have you published any empirical work","Have you ever been asked to provide a replication archive","Have you ever archived data in a public repository","Which public repository","Have you ever used Github, Gitlab, Bitbucket, etc.","Have you ever published your code","Have you ever chosen a license for your code","Have you ever attempted to obtain a replication archive and failed (Author refused, link was dead, etc.)","Have you ever attempted a replication with somebody else's code and/or data","Have you ever succeeded","Your academic status","Your field","worksheet"
"1","2/22/2019 1:05:09","Yes","Yes","No",NA,"No","Yes","No","No","Yes","Yes","Faculty","Economics","Montreal"
"2","2/22/2019 1:05:39","Yes","Yes","Yes","(open)ICPSR","Yes","Yes","No","Yes","Yes","Partially","Faculty","Economics","Montreal"
"3","2/22/2019 1:05:40","Yes","Yes","No",NA,"No","Yes","No","Yes","Yes","Yes","Faculty","Economics","Montreal"
"4","2/22/2019 1:05:49","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Partially","Faculty","Economics","Montreal"
"5","2/22/2019 1:06:33","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Partially","Ph.D. (candidate or completed)","Economics","Montreal"
"6","2/22/2019 1:06:34","No",NA,NA,NA,NA,NA,NA,"Yes","Yes","Partially","Ph.D. (candidate or completed)","Economics","Montreal"
"7","2/22/2019 1:06:51","Yes","Yes","Yes","My institutional repository, AEA","No","Yes","No","Yes","Yes","Yes","Faculty","Economics","Montreal"
"8","2/22/2019 1:06:58","Yes","Yes","Yes","My institutional repository, Harvard Dataverse","No","Yes","No","No","No",NA,"Faculty","Economics","Montreal"
"9","2/22/2019 1:07:03","Yes","Yes","Yes","Harvard Dataverse","Yes","Yes","Yes","Yes","Yes","No","Faculty","Economics","Montreal"
"10","2/22/2019 1:07:27","Yes","No","Yes","My webpage","Don't know what that is","Yes","No","Yes","Yes","Partially","Faculty","Economics","Montreal"
"11","2/22/2019 1:08:05","Yes","Yes","No",NA,"No","Yes","No","Yes","Yes","Partially","Faculty","Economics","Montreal"
"12","2/22/2019 1:12:10","Yes","Yes","No",NA,"Don't know what that is","No","No","No","No","No","Faculty","Economics","Montreal"
"13","2/22/2019 2:14:31","Yes","Yes","No",NA,"No","Yes","No","Yes","Yes","Yes","Faculty","Economics","Montreal"
"14","2/23/2019 0:37:59","Yes","No","No",NA,"No","Yes","No","No","No",NA,"Faculty","Economics","Montreal"
